|Pokemon     |Common (50%)    |Uncommon (5%)   |Rare (1%)       |
|------------|----------------|----------------|----------------|
|Butterfree  |                |*Silver Powder* |                |
|Beedrill    |                |*Poison Barb*   |                |
|Spearow     |                |*Sharp Beak*    |                |
|Fearow      |                |*Sharp Beak*    |                |
|Pikachu     |                |                |*Light Ball*    |
|Sandshrew   |                |*Grip Claw*     |                |
|Sandslash   |                |*Grip Claw*     |                |
|Clefairy    |                |*Moon Stone*    |                |
|Clefable    |                |*Moon Stone*    |                |
|Vulpix      |                |*Charcoal*      |                |
|Ninetales   |                |*Charcoal*      |                |
|Jigglypuff  |                |*Moon Stone*    |                |
|Wigglytuff  |                |*Moon Stone*    |                |
|Oddish      |                |*Absorb Bulb*   |                |
|Gloom       |                |*Absorb Bulb*   |                |
|Vileplume   |                |*Absorb Bulb*   |                |
|Paras       |*Tiny Mushroom* |*Big Mushroom*  |                |
|Parasect    |*Tiny Mushroom* |*Big Mushroom*  |                |
|Venomoth    |                |*Shed Shell*    |                |
|Diglett     |                |*Soft Sand*     |                |
|Dugtrio     |                |*Soft Sand*     |                |
|Meowth      |                |*Quick Claw*    |                |
|Persian     |                |*Quick Claw*    |                |
|Poliwhirl   |                |*King's Rock*   |                |
|Poliwrath   |                |*King's Rock*   |                |
|Abra        |                |*Twisted Spoon* |                |
|Kadabra     |                |*Twisted Spoon* |                |
|Alakazam    |                |*Twisted Spoon* |                |
|Machop      |                |*Focus Band*    |                |
|Machoke     |                |*Focus Band*    |                |
|Machamp     |                |*Focus Band*    |                |
|Tentacool   |                |*Poison Barb*   |                |
|Tentacruel  |                |*Poison Barb*   |                |
|Geodude     |                |*Everstone*     |                |
|Graveler    |                |*Everstone*     |                |
|Golem       |                |*Everstone*     |                |
|Slowpoke    |                |*Lagging Tail*  |                |
|Slowbro     |                |*King's Rock*   |                |
|Magnemite   |                |*Metal Coat*    |                |
|Magneton    |                |*Metal Coat*    |                |
|Farfetch'd  |                |*Stick*         |                |
|Doduo       |                |*Sharp Beak*    |                |
|Dodrio      |                |*Sharp Beak*    |                |
|Grimer      |                |*Black Sludge*  |                |
|Muk         |                |*Black Sludge*  |                |
|Shellder    |*Pearl*         |*Big Pearl*     |                |
|Cloyster    |*Pearl*         |*Big Pearl*     |                |
