#####PROTAGONISTS#####
0,CHILDOFLIGHT,Child of Light,0,,,,Female
1,TRAINER_AEVIS,Pokémon Trainer,15,Battle - Rival.mp3,,,Male,100
2,TRAINER_AEVIA,Pokémon Trainer,15,Battle - Rival.mp3,,,Female,100
3,TRAINER_ARIA,Pokémon Trainer,15,Battle - Rival.mp3,,,Female,100
4,TRAINER_AXEL,Pokémon Trainer,14,Battle - Rival.mp3,,,Male,100
5,TRAINER_ALAIN,Pokémon Trainer,14,Battle - Rival.mp3,,,Mixed,100
6,TRAINER_AERO,Pokémon Trainer,15,Battle - Rival.mp3,,,Mixed,100
7,TRAINER_ANA,Pokémon Trainer,0,Battle - Rival.mp3,,,Female,100
#####TEMPORARY RIVALS#####
8,TRAINER_REN,Pokémon Trainer,7,Battle - Rival.mp3,,,Male,100
9,TRAINER_MELIA1,Pre-Leader,7,Battle - Rival.mp3,,,Female,100
10,TRAINER_AMANDA,League Scout,7,Battle - Rival.mp3,,,Female,100
#####REGULAR#############################################################################
11,OPT,Optimist,6,,,Trainers' Eyes Meet,Female,90
12,AROMALADY,Fragrant Lady,11,,,Trainers' Eyes Meet,Female,90
13,BEAUTY,Prima Donna,8,,,Trainers' Eyes Meet,Female,90
14,COOLGUY,Cool Guy,9,,,Trainers' Eyes Meet,Male,90
15,CHANELLER,Old Lady,13,,,Trainers' Eyes Meet,Female,90
16,CUEBALL,Gang Member,5,,,Trainers' Eyes Meet,Male,90
17,TECH,Technician,10,,,Trainers' Eyes Meet,Male,90
18,BUGCATCHER,Bug Catcher,2,,,Trainers' Eyes Meet,Male,90
19,FISHERMAN,Fisherman,6,,,Trainers' Eyes Meet,Male,90
20,CHARMER,Charmer,9,,,Trainers' Eyes Meet,Male,90
21,HIKER,Hiker,9,,,Trainers' Eyes Meet,Male,90
22,LADY,Mistress,16,,,Trainers' Eyes Meet,Female,90
23,ROCKER,Punk,6,,,Trainers' Eyes Meet,Male,90
24,YOUNGSTER,Youngster,6,,,Trainers' Eyes Meet,Male,90
25,POKEBREEDER_F,Pokémon Caretaker,0,,,Trainers' Eyes Meet,Female,90
26,POKEBREEDER_M,Pokémon Caretaker,0,,,Trainers' Eyes Meet,Male,90
27,BLACKBELT,Battle Boy,7,,,Trainers' Eyes Meet,Male,90
28,COOLTRAINER_M,Hardcore Trainer,10,,,Trainers' Eyes Meet,Male,90
29,COOLTRAINER_F,Hardcore Trainer,10,,,Trainers' Eyes Meet,Female,90
30,KIMONOGIRL,Yukata Girl,12,,,Trainers' Eyes Meet,Female,90
31,KIMONOGIRL2,Kimono Girl,14,,,Trainers' Eyes Meet,Female,90
32,GUITARIST,Guitarist,4,,,Trainers' Eyes Meet,Female,90
33,WORKERF,Clerk,15,,,Trainers' Eyes Meet,Female,90
34,WORKERM,Clerk,15,,,Trainers' Eyes Meet,Male,90
35,OFFICER,Police Officer,15,,,Trainers' Eyes Meet,Male,90
36,SCIENTIST1,Scientist,16,,,Trainers' Eyes Meet,Male,90
37,LASS,Enthusiast,9,,,Trainers' Eyes Meet,Female,90
38,POKEMONRANGER_M,Pokémon Ranger,11,,,Trainers' Eyes Meet,Male,90
39,POKEMONRANGER_F,Pokémon Ranger,11,,,Trainers' Eyes Meet,Female,90
40,CRUSHGIRL,Battle Girl,14,,,Trainers' Eyes Meet,Female,90
41,CAMPER,Schoolboy,5,,,Trainers' Eyes Meet,Male,90
42,PICNICKER,Schoolgirl,5,,,Trainers' Eyes Meet,Female,90
43,FAIRYGIRL,Fairy Girl,6,,,Trainers' Eyes Meet,Female,90
44,TOURIST,Tourist,21,,,Trainers' Eyes Meet,Male,90
45,SCIENTIST,Xen Analyst,4,Battle - Team Xen_1.mp3,,,Male,112
46,COOLCOUPLE1,Cool Couple,16,,,Trainers' Eyes Meet,Mixed,90
47,DESERTDWELLER_MW,Desert Dweller,1,,,Trainers' Eyes Meet,Male,90
48,DESERTDWELLER_MB,Desert Dweller,1,,,Trainers' Eyes Meet,Male,90
49,DESERTDWELLER_FW,Desert Dweller,1,,,Trainers' Eyes Meet,Female,90
50,DESERTDWELLER_FB,Desert Dweller,1,,,Trainers' Eyes Meet,Female,90
182,AXISSTUDENT_MW,Axis High Student,1,,,Trainers' Eyes Meet,Male,90
183,AXISSTUDENT_MB,Axis High Student,1,,,Trainers' Eyes Meet,Male,90
184,AXISSTUDENT_FW,Axis High Student,1,,,Trainers' Eyes Meet,Female,90
185,AXISSTUDENT_FB,Axis High Student,1,,,Trainers' Eyes Meet,Female,90
188,MYSTSTUDENT,Mysterious Student,1,,,Trainers' Eyes Meet,Female,90
####SPECIAL TRAINERS#############################################################################
60,NEWREP,News Crew,4,,,,Mixed,90
61,POKEGANG2,Poke Gang,0,,,,Mixed,90
62,MERCH,Merchant,0,Stop!Thief!,,,Mixed,90
63,BEAST,Ancient Leviathan,0,Battle - Legendary.mp3,,,Mixed,90
64,LUNA,Chaotic Fusion,0,Battle - Legendary.mp3,,,Mixed,90
65,POKEGANG,PokeGang,0,,,,Mixed,90
66,RENEGADE,Renegade,0,Battle - Legendary.mp3,,,Mixed,90
67,CHALLENGER,Challenger,4,,,,Mixed,100
68,GHOSTGIRL,Ghost Girl,4,,,Trainers' Eyes Meet,Female,100
69,GHOSTGUY,Ghost Guy,4,,,Trainers' Eyes Meet,Male,100
70,GANGLEADER,Gang Leader,4,Battle - Mini Boss.mp3,,,Female,100
71,POKEGANG_1,PokeGang,0,,,,Mixed,90
72,BUGCATCH,Bug Catcher,10,RSE - Battle.mp3,,,Male,90
73,WITCH,Spellcaster,10,RSE - Battle.mp3,,,Female,90
74,YOUNGMONEY,YOUNGSTER,10,RSE - Battle.mp3,,,Male,90
75,LADYGIRL,Lady,13,RSE - Battle.mp3,,,Female,90
76,SUPERSTAR,Lingering Regret,0,,,,Female,90
77,SECURITYBOT,Security Bot,0,,,,Mixed,90
78,GARBODOR,Garbodor,0,Battle - Mini Boss.mp3,,,Mixed,90
79,DISCOTEEN,Dance Prodigy,18,Battle - Rorrim B..mp3,,,Mixed,100
80,ANCIENT,Ancient Guard,0,Battle - Intense.mp3,,,Mixed,100
81,WANDERER,Wanderer,18,Battle - Rival,,Trainers' Eyes Meet,Female,100
82,SENSEI_1,Sensei,0,Battle - Protector of Aevium.mp3,,,Female,100
83,POKEGANG3,PokeGang,0,Battle - Mini Boss.mp3,,,Mixed,100
84,POKEGANG4,PokeGang,0,Battle - Mini Boss.mp3,,,Mixed,100
85,POKEGANG5,PokeGang,0,Battle - Mini Boss.mp3,,,Mixed,100
86,POKEMONRANGER_M1,Pokemon Ranger,10,,,Trainers' Eyes Meet,Male,100
87,POKEMONRANGER_F1,Pokémon Ranger,10,,,Trainers' Eyes Meet,Female,100
88,MADSCIENTIST,Mad Scientist,0,Battle - Mini Boss.mp3,,,Male,100
166,WPUNK,Wasteland Punk,15,Battle - Rival.mp3,,,Female,100
168,POKEGANG6,PokeGang,0,Battle - Mini Boss.mp3,,,Mixed,100
173,POKEGANG7,Tormented Leviathan,0,Battle - Legendary.mp3,,,Female,100
176,DEFENSEMECH,Defense,0,Battle - Machine.mp3,,,Mixed,100
178,POKEGANG8,Temple,0,Battle - Legendary.mp3,,,Female,100
####RIVALS/FRIENDS#############################################################################
90,STUDENT,Student,15,Battle - Rival 2.mp3,,,Female,100
91,STUDENT_2,Student,0,Battle - Rival 2.mp3,,,Female,100
92,ENIGMA,Pokemon Trainer,15,Battle - Rival.mp3,,,Female,100
93,APPRENTICE,Apprentice,15,Battle - Rival 2.mp3,,,Female,100
94,ROGUEAPP,Rogue Apprentice,15,Battle - Rival.mp3,,,Female,100
95,CANDIDGIRL,Candid Girl,15,Battle - Rival.mp3,Gym Battle Victory.mp3,,Female,100
96,OUTCAST,Outcast,15,Battle - Rival.mp3,,,Male,100
97,RUNAWAYGIRL,Runaway,15,Battle - Rival.mp3,Gym Battle Victory.mp3,,Female,100
157,OPTKID,Optimistic Guy,15,Battle - Rival.mp3,,,Male,100
158,OPTKID_1,Optimistic Guy,15,Battle - Rival.mp3,,,Male,100
159,TRENDYGIRL,Trendy Girl,15,Battle - Rival 2.mp3,Gym Battle Victory.mp3,,Female,100
160,TRENDYGIRL_1,Trendy Girl,15,Battle - Rival 2.mp3,Gym Battle Victory.mp3,,Female,100
164,OPTKID_2,Servant,15,Battle - Rival.mp3,,,Male,100
165,ENIGMA_2,Pokemon Trainer,15,Battle - Rival.mp3,,,Female,100
169,POPSTAR,Popstar,0,,,,Female,100
171,STUDENT_3,Leader,0,Battle - Rival.mp3,,,Female,100
172,HERO,Eventual Hero,0,Battle - Rival.mp3,,,Male,100
174,HERO1,Hero of Goomidra,0,Battle - Rival.mp3,,,Male,100
177,NANO,Android Girl,0,Battle - Rival.mp3,,,Female,100
179,LEADER_VENAM3,Punk Girl,24,Battle - Rival 2.mp3,,,Female,100
180,ENIGMA_1,Pokemon Trainer,15,Battle - Rival.mp3,,,Female,100
